start,end,flow,distance,Time
604,653,2,203.08339376122788,T4
604,653,1,198.08339376122788,T4
604,653,1,193.08339376122788,T4
604,499,1,111.57855110483032,T4
604,499,1,121.57855110483032,T4
653,604,2,223.08339376122788,T4
650,653,1,285.5988463771659,T4
650,653,1,280.5988463771659,T4
653,604,1,203.08339376122788,T4
650,653,1,310.5988463771659,T4
650,653,1,305.5988463771659,T4
650,653,1,300.5988463771659,T4
653,604,1,178.08339376122788,T4
650,653,1,300.5988463771659,T4
650,653,1,295.5988463771659,T4
650,653,1,220.5988463771659,T4
650,653,1,280.5988463771659,T4
650,653,1,270.5988463771659,T4
650,653,1,295.5988463771659,T4
650,653,1,290.5988463771659,T4
650,653,1,285.5988463771659,T4
650,653,1,245.5988463771659,T4
650,653,1,210.5988463771659,T4
650,653,1,200.5988463771659,T4
653,604,1,118.08339376122788,T4
650,653,1,195.5988463771659,T4
499,604,1,111.57855110483032,T5
604,653,1,218.08339376122788,T5
653,604,1,203.08339376122788,T5
650,653,1,270.5988463771659,T5
653,604,1,128.08339376122788,T5
650,653,1,195.5988463771659,T5
604,499,1,116.57855110483032,T5
604,653,1,178.08339376122788,T5
96,248,1,131.57631366852297,T5
604,653,1,193.08339376122788,T5
604,499,1,96.57855110483032,T5
604,499,1,131.57855110483032,T5
96,248,1,121.57631366852296,T5
653,604,1,258.08339376122785,T5
650,653,1,200.5988463771659,T5
653,604,1,188.08339376122788,T5
650,653,1,245.5988463771659,T5
653,604,1,158.08339376122788,T5
653,604,1,173.08339376122788,T5
653,604,1,183.08339376122788,T5
653,604,1,188.08339376122788,T5
653,604,1,158.08339376122788,T5
653,604,1,168.08339376122788,T5
653,604,1,173.08339376122788,T5
